Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Mean Age - 2013,Median Age - 2013,Area - Square Kilometres,Population density (persons per sq km) - 2013,% BAME - 2011,% Not Born in UK - 2011,% English is First Language of no one in household - 2011,General Fertility Rate - 2013,Male life expectancy -2009-13,Female life expectancy -2009-13 ,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,"Rate of All Ambulance Incidents per 1,000 population - 2014",Rates of ambulance call outs for alcohol related illness - 2014,Number Killed or Seriously Injured on the roads - 2014,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Number of jobs in area - 2013,Employment per head of resident WA population - 2013,Rate of new registrations of migrant workers - 2011/12,Median House Price (£) - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,% with Level 4 qualifications and above - 2011,A-Level Average Point Score Per Student - 2013/14,A-Level Average Point Score Per Entry; 2013/14,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,Cars per household - 2011,Average Public Transport Accessibility score - 2014,% travel by bicycle to work - 2011,Turnout at Mayoral election - 2012
Hillingdon - Yiewsley,00ASHE,E05000345,13750.0,3150.0,9250.0,1350.0,22.7,67.3,10.0,33.9,32.0,4.0,3362.5,33.8,27.7,10.0,78.5,78.6,83.9,11.0,24.5,130.7,0.7,5.0,6051.0,68.2,7600.0,0.8,28.4,225000.0,159.0,32340.0,5181.0,4.3,34.2,24.7,36.5,47.6,27.3,21.8,12.1,87.3,0.5,14.9,14.1,5.4,2.2,20.6,7.7,49.5,239.0,100.0,289.7,1.5,23.7,23.1,675.4,208.1,110.1,32.5,1.6,41.3,1.0,2.5,2.2,24.4
Hounslow - Bedfont,00ATFY,E05000346,12950.0,2950.0,8500.0,1500.0,22.8,65.6,11.6,35.3,33.0,4.4,2965.9,35.7,31.0,12.5,85.5,77.2,82.0,11.7,28.3,128.0,0.5,1.0,6105.0,72.2,9400.0,1.1,32.0,229000.0,168.0,31870.0,5046.0,4.5,41.8,20.4,33.3,48.2,26.9,16.4,9.8,89.1,1.2,14.5,12.0,4.8,2.7,19.6,6.6,49.0,302.0,85.7,313.5,1.4,24.0,20.2,673.2,205.7,65.0,20.3,1.1,52.5,1.1,2.1,3.0,22.5
Hounslow - Brentford,00ATFZ,E05000347,15800.0,2950.0,11300.0,1550.0,18.5,71.5,10.0,34.6,32.0,3.2,4828.1,33.9,38.3,15.0,54.3,79.7,85.7,12.6,22.6,131.4,0.7,5.0,7043.0,68.0,11500.0,1.1,39.2,370000.0,335.0,35040.0,6116.0,2.5,13.7,23.9,59.6,38.0,37.7,18.5,18.2,75.0,6.8,14.6,13.5,4.5,2.7,19.6,5.9,48.9,287.0,71.4,330.8,1.0,17.2,35.3,710.2,215.9,80.0,20.0,0.1,42.8,0.8,3.2,5.0,30.0
Hounslow - Chiswick Homefields,00ATGA,E05000348,11650.0,2200.0,7950.0,1500.0,18.8,68.4,12.8,37.6,37.0,2.3,5087.0,18.8,34.0,9.8,51.7,81.1,84.5,6.7,16.9,102.8,0.4,5.0,6077.0,76.1,6800.0,0.9,28.3,772500.0,174.0,51830.0,5051.0,3.4,18.9,25.1,52.3,53.9,16.4,27.9,2.0,51.3,46.6,6.6,6.2,2.6,1.3,9.6,2.8,42.1,500.0,14.3,345.5,0.6,9.3,55.7,729.5,212.9,83.5,13.5,0.4,42.2,0.9,3.6,6.9,41.3
Hounslow - Chiswick Riverside,00ATGB,E05000349,11700.0,2300.0,7800.0,1600.0,19.7,66.5,13.8,37.9,37.0,2.1,5642.9,19.1,30.3,8.9,67.6,82.1,87.7,6.6,13.3,83.1,0.4,4.0,6201.0,77.4,2200.0,0.3,25.5,650000.0,205.0,49680.0,5289.0,4.9,18.4,22.2,54.5,55.8,18.5,24.2,3.3,54.4,42.3,8.5,8.7,3.4,1.7,7.5,2.9,39.6,461.0,28.6,355.5,0.6,9.2,56.0,743.6,216.8,62.2,13.2,0.2,35.2,1.0,2.8,7.0,41.3
Hounslow - Cranford,00ATGC,E05000350,12750.0,2800.0,8600.0,1350.0,22.2,67.3,10.5,34.1,31.0,2.7,4722.2,73.9,56.2,26.5,97.2,78.6,84.5,12.7,26.6,124.5,0.9,1.0,5548.0,65.6,5600.0,0.7,90.5,226500.0,76.0,30860.0,4006.0,6.3,31.6,27.7,34.5,43.8,29.1,24.7,20.3,78.4,1.4,14.0,12.2,5.2,2.7,17.8,7.4,51.6,251.0,100.0,314.6,1.3,20.2,26.2,645.4,204.2,74.4,28.9,0.2,26.4,1.0,2.4,1.8,25.7
Hounslow - Feltham North,00ATGD,E05000351,11850.0,2400.0,7850.0,1600.0,20.3,66.1,13.6,36.7,35.0,3.4,3514.7,38.9,35.7,14.1,76.2,75.8,78.6,12.7,25.9,142.2,0.4,6.0,5500.0,71.6,8200.0,1.0,50.7,270000.0,107.0,32850.0,4310.0,5.5,40.0,26.4,27.8,59.1,22.3,16.0,10.4,89.1,0.5,13.9,10.8,4.6,2.1,18.9,5.5,44.8,291.0,100.0,318.9,1.3,26.1,21.1,651.8,207.0,77.4,25.1,0.6,37.0,1.1,2.9,2.9,22.3
Hounslow - Feltham West,00ATGE,E05000352,15800.0,3950.0,10700.0,1150.0,25.0,67.6,7.4,31.7,31.0,3.2,4968.8,35.5,32.3,14.2,76.9,80.6,84.1,14.5,24.2,113.8,0.3,2.0,7666.0,71.8,4900.0,0.5,41.1,225000.0,235.0,34010.0,5895.0,3.1,25.8,30.9,40.1,45.7,27.2,20.7,11.4,88.6,0.0,12.5,10.9,4.3,2.1,15.9,7.3,47.9,312.0,87.5,309.4,1.3,20.5,25.0,620.1,207.1,69.8,25.1,1.1,41.4,1.0,2.4,2.9,21.5
Hounslow - Hanworth,00ATGF,E05000353,12400.0,2900.0,8000.0,1500.0,23.6,64.5,11.9,34.8,33.0,3.3,3787.9,32.4,28.9,11.3,68.6,79.0,85.5,13.1,27.1,113.3,0.6,4.0,5265.0,66.9,3500.0,0.4,26.8,250000.0,123.0,31150.0,4733.0,3.8,29.0,29.4,37.8,47.5,38.6,11.3,14.8,84.5,0.6,17.3,15.0,6.3,2.8,22.5,8.7,52.8,163.0,100.0,292.8,1.5,26.4,19.2,579.2,204.5,72.9,28.5,0.5,45.6,1.0,2.6,3.5,22.5
Hounslow - Hanworth Park,00ATGG,E05000354,12250.0,2600.0,8150.0,1500.0,21.1,66.4,12.4,36.4,35.0,3.6,3347.2,30.8,28.5,10.9,80.8,79.5,83.0,14.0,25.7,118.2,0.7,3.0,5614.0,72.9,8900.0,1.1,29.4,250000.0,135.0,34340.0,4576.0,6.9,34.1,25.5,33.3,61.1,21.3,14.0,8.4,88.1,3.5,12.0,9.5,4.3,1.8,15.3,5.8,47.8,332.0,71.4,316.6,1.1,23.4,22.2,643.3,201.8,70.5,22.4,0.5,41.4,1.1,2.6,2.7,27.2
Hounslow - Heston Central,00ATGH,E05000355,12600.0,2650.0,8500.0,1450.0,21.0,67.5,11.5,35.2,33.0,1.7,7500.0,76.6,54.7,23.9,73.2,78.2,83.3,13.5,29.4,115.2,1.1,5.0,5584.0,66.6,1400.0,0.2,87.7,348000.0,75.0,33580.0,3936.0,5.5,49.5,13.7,31.2,55.0,19.5,22.9,9.9,85.4,4.7,10.7,9.4,4.0,2.7,14.4,6.1,52.6,339.0,85.7,333.7,1.3,17.3,32.0,701.0,209.2,53.0,21.6,0.6,15.8,1.1,2.9,1.5,25.0
Hounslow - Heston East,00ATGJ,E05000356,12700.0,2600.0,8650.0,1500.0,20.4,68.0,11.6,35.2,32.0,2.0,6400.0,77.4,56.5,26.1,74.2,82.4,84.3,10.5,22.8,100.3,0.5,3.0,5745.0,67.5,3200.0,0.4,69.5,248000.0,112.0,34030.0,4065.0,7.3,41.7,18.8,32.2,56.6,15.7,25.7,8.9,83.5,7.7,10.4,9.9,4.2,2.4,14.2,6.0,48.7,404.0,71.4,337.2,1.0,16.1,33.4,702.7,219.7,63.3,20.6,0.4,27.1,1.2,2.3,1.1,24.9
Hounslow - Heston West,00ATGK,E05000357,12750.0,2900.0,8450.0,1400.0,22.9,66.2,10.9,34.4,32.0,3.8,3381.6,76.2,51.1,23.9,72.6,79.5,83.6,9.0,24.6,130.7,0.6,4.0,5161.0,62.2,5200.0,0.6,60.0,280000.0,61.0,29490.0,4071.0,4.4,35.1,21.2,38.8,46.4,33.7,17.3,20.3,78.9,0.7,14.0,13.3,5.3,3.4,18.0,9.2,57.4,273.0,71.4,323.2,1.2,21.8,24.4,665.7,204.3,100.3,27.4,1.5,39.1,1.1,2.3,1.2,29.2
Hounslow - Hounslow Central,00ATGL,E05000358,16200.0,3300.0,11350.0,1550.0,20.3,70.1,9.6,34.0,32.0,1.7,9441.2,70.7,64.5,29.5,81.1,79.9,85.8,11.8,22.2,156.3,2.3,1.0,7795.0,71.4,12000.0,1.1,130.7,249950.0,125.0,35830.0,5519.0,4.9,26.8,17.1,51.1,38.3,16.9,38.7,16.3,80.2,3.5,7.0,10.2,3.4,2.0,11.8,4.2,42.8,446.0,57.1,345.0,1.1,12.8,42.8,707.5,212.6,166.8,47.7,0.5,11.1,0.7,5.1,1.5,25.2
Hounslow - Hounslow Heath,00ATGM,E05000359,15250.0,3700.0,10300.0,1250.0,24.3,67.5,8.3,32.6,31.0,2.8,5446.4,72.6,58.0,27.7,80.5,79.2,87.7,10.8,24.7,121.7,0.8,1.0,6878.0,67.6,3200.0,0.3,90.1,249950.0,121.0,32530.0,5029.0,5.8,30.6,22.9,40.4,44.7,20.0,31.9,12.8,85.2,2.0,11.1,12.9,4.2,3.0,14.3,7.7,54.8,351.0,100.0,340.2,1.3,15.7,34.6,709.8,214.5,64.0,25.9,0.7,48.6,0.9,3.2,2.0,27.6
Hounslow - Hounslow South,00ATGN,E05000360,11700.0,2200.0,7800.0,1650.0,19.0,67.0,14.0,37.7,36.0,1.8,6555.6,45.1,38.7,13.2,66.0,82.2,88.6,9.3,16.6,86.8,0.3,1.0,5767.0,74.1,1100.0,0.1,36.4,375000.0,107.0,39920.0,4008.0,5.6,54.5,24.5,15.3,74.0,5.1,19.2,6.6,91.2,2.2,7.4,4.9,2.5,1.9,6.0,2.5,30.5,536.0,0.0,342.9,1.1,15.7,32.9,700.8,211.2,41.4,10.0,0.2,17.9,1.3,2.5,3.5,37.4
Hounslow - Hounslow West,00ATGP,E05000361,13750.0,2650.0,9650.0,1450.0,19.2,70.1,10.7,35.1,32.0,1.6,8437.5,75.9,62.6,29.4,88.2,77.7,80.1,10.7,27.4,136.9,0.9,4.0,6288.0,69.6,3500.0,0.4,118.9,270000.0,71.0,31890.0,4023.0,6.3,38.7,20.2,34.7,47.0,18.9,30.1,13.8,83.3,2.9,10.4,10.2,3.8,2.1,11.7,4.5,53.2,353.0,100.0,331.1,1.2,16.3,33.5,707.7,209.5,92.1,30.7,0.5,10.2,0.9,3.9,1.5,26.2
Hounslow - Isleworth,00ATGQ,E05000362,12150.0,2700.0,8150.0,1300.0,22.3,66.9,10.8,35.2,34.0,2.0,6125.0,34.8,33.8,11.7,86.7,77.8,84.3,10.7,20.7,128.8,0.7,0.0,5827.0,70.6,4500.0,0.5,21.7,301000.0,189.0,34790.0,4987.0,2.5,17.9,28.8,50.7,44.3,34.1,18.6,16.7,78.9,4.3,14.3,13.8,5.7,2.8,21.5,7.0,52.4,281.0,57.1,315.8,1.2,19.9,33.8,679.5,209.7,69.5,22.3,0.7,22.6,0.9,2.4,4.7,32.4
Hounslow - Osterley and Spring Grove,00ATGR,E05000363,13350.0,2600.0,9050.0,1750.0,19.3,67.8,12.9,36.7,35.0,6.3,2134.9,54.4,46.0,15.7,68.3,82.4,83.7,8.4,15.8,107.1,0.7,4.0,6844.0,75.3,19500.0,2.1,50.0,345500.0,182.0,42140.0,4897.0,8.8,39.4,9.7,42.0,61.8,6.9,28.3,4.6,65.7,29.7,6.9,5.5,2.5,1.3,7.3,3.4,42.7,498.0,28.6,367.0,0.9,10.8,45.9,757.7,221.6,73.2,18.1,0.4,54.3,1.2,2.8,2.8,32.2
Hounslow - Syon,00ATGS,E05000364,14200.0,2950.0,9850.0,1400.0,20.7,69.4,9.9,35.1,34.0,2.9,4862.1,34.2,36.7,13.5,70.6,77.2,78.9,9.7,23.6,161.0,1.3,1.0,7063.0,73.0,8300.0,0.8,33.7,365000.0,387.0,37040.0,5982.0,2.5,13.7,25.3,58.0,43.8,27.4,23.8,6.1,86.4,7.5,13.4,12.1,4.3,1.9,16.7,5.4,46.8,300.0,83.3,318.5,1.1,16.4,38.9,672.2,209.1,82.2,30.7,0.5,42.5,0.9,3.6,4.4,30.6
Hounslow - Turnham Green,00ATGT,E05000365,11800.0,1850.0,8400.0,1550.0,15.8,71.0,13.2,38.3,36.0,1.8,6583.3,23.2,39.9,12.8,61.4,81.7,85.6,7.3,15.7,153.0,0.7,5.0,6354.0,77.0,20500.0,2.5,49.1,634000.0,201.0,47080.0,5735.0,3.1,11.8,21.7,63.4,49.4,14.7,34.0,2.7,65.1,32.2,9.1,7.4,3.0,1.4,10.0,2.5,46.9,455.0,42.9,343.6,1.0,9.9,55.4,714.9,205.5,95.0,18.4,0.2,7.4,0.8,4.4,5.0,37.8
Islington - Barnsbury,00AUFX,E05000366,12950.0,1950.0,9750.0,1250.0,15.0,75.3,9.7,34.9,31.0,0.8,15937.5,28.9,35.5,10.9,44.3,76.2,81.8,9.9,23.4,144.3,1.1,9.0,6292.0,68.1,6600.0,0.7,56.2,715000.0,153.0,44970.0,5893.0,1.2,2.9,15.4,80.5,31.7,38.5,27.3,6.6,72.8,20.7,12.2,13.7,5.6,2.1,21.4,6.0,55.2,190.0,100.0,320.4,1.4,16.3,51.5,621.1,204.8,131.4,30.0,0.1,11.0,0.5,5.7,9.7,37.7
Islington - Bunhill,00AUFY,E05000367,16700.0,2200.0,13350.0,1150.0,13.1,80.0,7.0,32.5,29.0,1.1,14454.5,34.5,41.9,16.6,42.0,77.9,84.6,12.4,22.9,171.5,1.7,13.0,6889.0,59.8,68100.0,5.4,67.8,640000.0,196.0,39200.0,7366.0,0.3,0.6,1.5,97.6,21.1,47.3,29.3,16.9,61.9,21.2,13.6,15.6,4.9,3.1,28.5,6.2,59.0,220.0,85.7,324.2,1.3,15.8,45.2,590.6,201.2,179.7,34.6,0.3,13.5,0.3,7.1,7.3,30.3
Islington - Caledonian,00AUFZ,E05000368,14950.0,2200.0,11450.0,1250.0,14.8,76.7,8.5,34.0,30.0,1.1,13227.3,34.7,37.3,14.4,41.7,78.2,82.7,13.0,21.9,157.5,1.7,5.0,6494.0,61.7,17000.0,1.5,49.6,447500.0,142.0,35840.0,6407.0,1.3,3.1,13.5,81.6,22.6,44.7,29.8,9.0,82.2,8.8,17.0,16.9,6.3,3.4,30.6,7.2,55.2,92.0,100.0,312.0,1.6,21.0,39.1,682.3,207.4,138.8,38.7,1.9,16.4,0.4,5.3,8.2,33.7
Islington - Canonbury,00AUGA,E05000369,12500.0,2250.0,9000.0,1250.0,18.2,71.9,9.9,35.5,33.0,0.8,15437.5,28.2,29.7,9.1,50.0,78.9,86.2,9.1,22.7,111.2,0.4,8.0,6103.0,69.2,1600.0,0.2,36.3,550000.0,131.0,40590.0,5875.0,1.2,5.6,10.6,82.5,27.8,47.2,22.0,6.3,79.3,14.5,18.7,18.1,7.8,2.8,30.6,8.1,58.9,62.0,100.0,310.4,1.8,19.2,47.3,644.0,213.1,80.2,24.2,0.2,14.4,0.4,6.5,9.0,35.3
Islington - Clerkenwell,00AUGB,E05000370,12350.0,1450.0,9850.0,1000.0,11.7,80.0,8.3,34.8,31.0,0.9,13444.4,29.3,38.5,12.6,38.3,80.3,87.7,12.9,22.5,148.1,1.5,11.0,5721.0,62.6,58100.0,6.1,88.2,732500.0,142.0,43350.0,5733.0,0.8,1.0,7.7,90.4,29.0,42.3,26.5,21.1,57.3,21.7,13.5,14.9,6.0,2.4,25.3,4.8,57.2,225.0,85.7,300.6,1.6,15.1,47.9,606.1,200.0,154.3,28.5,0.2,9.3,0.4,6.9,8.4,34.9
Islington - Finsbury Park,00AUGC,E05000371,15300.0,2700.0,11300.0,1300.0,17.6,73.8,8.6,33.6,31.0,0.9,16555.6,42.9,41.6,17.5,51.1,75.0,81.1,11.8,27.2,190.7,1.3,4.0,6862.0,65.4,7100.0,0.6,63.3,410000.0,153.0,33620.0,6493.0,1.5,2.3,13.5,82.6,22.6,43.4,31.9,15.8,75.2,9.0,20.0,20.7,8.0,4.3,30.6,8.5,56.1,40.0,100.0,309.8,1.3,20.6,41.8,622.7,208.5,161.3,47.1,0.1,15.9,0.3,6.6,8.2,37.3
Islington - Highbury East,00AUGD,E05000372,12150.0,2250.0,8700.0,1200.0,18.4,71.8,9.8,35.5,33.0,1.0,11950.0,23.5,30.9,9.3,63.5,80.8,83.5,6.3,15.7,115.5,0.5,0.0,6350.0,74.5,3300.0,0.4,33.5,667500.0,194.0,47810.0,5391.0,1.4,3.3,21.5,73.8,41.1,31.1,26.1,5.3,67.5,27.2,11.8,12.1,4.9,2.2,15.5,4.3,49.0,215.0,100.0,343.0,1.0,13.4,58.8,741.9,217.2,98.2,23.1,1.4,21.6,0.5,4.7,12.9,41.5
Islington - Highbury West,00AUGE,E05000373,16400.0,2650.0,12650.0,1050.0,16.2,77.3,6.5,33.6,31.0,1.1,14363.6,32.1,34.5,12.8,48.5,78.8,82.7,11.4,17.7,114.5,0.6,4.0,8745.0,74.5,5000.0,0.4,41.1,500000.0,431.0,43800.0,7376.0,1.1,2.6,17.5,78.9,29.4,33.5,33.2,8.4,76.5,15.1,15.3,13.5,5.1,2.5,21.4,5.4,52.3,152.0,100.0,322.6,0.9,12.6,56.3,739.7,220.0,88.5,27.3,0.1,10.6,0.4,5.7,10.2,39.5
Islington - Hillrise,00AUGF,E05000374,12350.0,2300.0,8900.0,1150.0,18.5,72.1,9.4,35.0,33.0,0.8,15125.0,33.7,32.9,10.4,53.2,78.1,81.9,7.7,19.6,114.2,0.6,1.0,5560.0,65.7,1100.0,0.1,37.0,447500.0,118.0,39090.0,5209.0,1.3,3.4,18.8,76.6,32.9,45.3,20.1,15.1,71.2,13.7,20.0,18.2,7.4,3.8,24.4,8.4,60.2,108.0,100.0,315.8,1.3,17.9,43.7,693.6,211.9,74.0,26.2,1.2,18.3,0.5,4.2,8.0,39.6
Islington - Holloway,00AUGG,E05000375,16050.0,2400.0,12400.0,1250.0,15.1,77.2,7.7,33.5,30.0,1.0,15750.0,36.1,39.6,14.9,37.3,76.9,83.4,13.7,28.8,119.6,0.8,7.0,7305.0,63.9,4500.0,0.4,50.0,405000.0,195.0,35430.0,6912.0,1.3,3.5,8.7,86.5,22.4,46.5,26.2,11.5,82.0,6.5,18.1,17.8,6.7,3.7,29.3,7.4,57.2,76.0,100.0,312.2,1.6,18.8,43.3,624.4,201.6,83.3,22.8,0.2,16.9,0.4,5.9,8.8,37.5
Islington - Junction,00AUGH,E05000376,12950.0,2000.0,9700.0,1250.0,15.4,74.9,9.7,35.6,33.0,1.0,12600.0,30.6,34.7,11.5,37.5,75.5,81.1,8.6,15.8,189.7,1.2,5.0,6085.0,68.4,9600.0,1.0,49.2,452000.0,149.0,39470.0,5882.0,1.0,3.0,14.2,81.8,28.5,43.3,25.7,8.5,81.3,10.1,17.1,17.0,6.6,3.7,22.4,5.6,54.9,102.0,100.0,334.5,1.3,16.8,46.9,715.7,218.8,115.5,34.1,0.5,16.6,0.4,6.0,9.4,38.6
Islington - Mildmay,00AUGJ,E05000377,13500.0,2500.0,10000.0,1050.0,18.3,74.0,7.7,33.7,32.0,0.8,16625.0,34.5,33.8,10.6,55.1,78.4,83.8,13.9,24.4,125.4,0.6,1.0,6556.0,68.6,1700.0,0.2,36.4,525000.0,167.0,39300.0,6064.0,1.1,2.9,11.5,84.4,27.4,47.0,23.3,6.8,82.9,10.3,17.5,18.3,7.1,2.8,27.6,8.7,61.4,85.0,100.0,329.6,1.1,17.4,48.8,635.4,204.3,92.3,24.7,0.5,10.6,0.4,6.1,13.2,35.8
Islington - St. George's,00AUGK,E05000378,13100.0,2100.0,9750.0,1250.0,16.2,74.4,9.5,35.2,33.0,0.8,16062.5,28.1,32.8,10.6,47.1,77.7,85.7,8.7,22.2,144.5,0.8,2.0,6282.0,67.8,2300.0,0.2,50.0,495645.0,129.0,40860.0,5627.0,1.0,4.0,12.7,82.3,33.6,38.0,26.1,10.2,75.9,14.0,17.0,16.2,6.4,3.7,21.5,6.0,53.8,121.0,100.0,328.5,1.2,16.5,48.3,686.2,212.3,76.5,24.1,0.5,8.1,0.5,4.5,11.4,39.8
Islington - St. Mary's,00AUGL,E05000379,12500.0,1750.0,9600.0,1200.0,13.8,76.6,9.5,35.9,33.0,0.9,13500.0,25.3,33.1,10.0,50.4,79.3,82.3,11.4,21.8,166.1,1.9,14.0,6476.0,73.0,12700.0,1.4,41.6,650000.0,116.0,46190.0,5959.0,1.1,2.9,15.5,80.5,27.0,41.5,29.7,1.8,78.2,20.0,14.3,14.8,6.5,2.6,28.4,5.0,52.2,139.0,100.0,331.1,1.4,15.5,54.4,692.9,211.3,192.2,44.0,0.2,9.6,0.4,6.7,8.9,35.5
Islington - St. Peter's,00AUGM,E05000380,13200.0,1950.0,10050.0,1150.0,14.9,76.2,8.9,35.2,32.0,0.8,15687.5,25.6,32.0,9.5,45.9,77.6,79.2,9.1,22.9,139.1,1.3,6.0,6277.0,70.4,7300.0,0.8,45.6,667500.0,206.0,43870.0,5740.0,0.9,2.5,23.4,73.2,33.2,40.4,24.0,2.9,69.2,27.9,15.1,14.4,5.9,2.2,26.5,6.0,62.0,153.0,100.0,302.4,1.6,17.3,53.0,607.1,202.1,127.1,30.0,0.5,10.4,0.4,5.3,9.7,36.5
Islington - Tollington,00AUGN,E05000381,13900.0,2450.0,10350.0,1100.0,17.5,74.4,8.1,34.2,32.0,0.8,17062.5,35.8,34.5,12.6,59.2,77.2,85.7,9.1,24.1,121.5,0.5,3.0,6770.0,68.5,2500.0,0.2,39.4,465000.0,157.0,38090.0,6269.0,1.5,3.5,16.5,78.5,29.0,41.9,26.9,8.7,83.9,7.3,18.7,19.4,8.2,4.0,26.3,7.1,51.3,90.0,100.0,325.6,1.1,17.3,45.2,629.4,199.7,86.4,27.4,0.5,13.3,0.4,4.5,9.5,40.0
Kensington and Chelsea - Abingdon,00AWFY,E05000382,10700.0,1750.0,7550.0,1400.0,16.2,70.5,13.3,37.7,36.0,0.6,16916.7,32.6,59.6,26.1,51.2,86.5,85.5,n/a,n/a,99.9,0.6,3.0,4823.0,66.2,6900.0,0.9,71.1,1295000.0,303.0,54690.0,5399.0,1.2,3.4,13.0,82.4,41.5,9.4,45.2,4.5,29.5,65.9,5.1,6.1,2.1,1.0,4.4,3.3,50.3,451.0,33.3,357.0,1.3,6.3,59.2,649.7,218.4,83.2,18.7,0.0,5.9,0.6,6.5,4.7,31.7
Kensington and Chelsea - Brompton,00AWFZ,E05000383,8900.0,1250.0,6350.0,1300.0,14.2,71.2,14.6,39.2,37.0,1.0,8700.0,24.4,61.7,26.8,39.5,86.4,86.6,n/a,n/a,156.9,2.4,8.0,4465.0,69.2,24800.0,3.9,57.4,1950000.0,151.0,64320.0,5840.0,1.0,1.8,13.2,83.9,34.0,12.3,47.6,2.5,17.7,79.8,3.4,4.5,1.7,0.9,5.0,1.7,46.3,477.0,16.7,355.6,0.9,6.6,57.4,693.3,213.4,185.5,23.9,0.2,10.8,0.6,6.8,2.9,27.7
Kensington and Chelsea - Campden,00AWGA,E05000384,8250.0,1400.0,5700.0,1100.0,16.9,69.5,13.6,38.4,37.0,0.9,8944.4,21.4,52.8,18.3,64.9,86.1,89.5,5.2,21.4,108.8,1.6,4.0,4206.0,71.6,7700.0,1.3,40.0,1400000.0,157.0,65500.0,4550.0,1.9,4.0,19.6,74.4,47.7,7.0,39.8,0.0,22.8,77.2,3.6,4.1,1.7,0.7,2.2,1.6,49.4,519.0,0.0,291.1,0.5,4.5,62.4,712.5,228.7,124.7,21.4,n/a,27.8,0.7,6.8,5.0,33.2
Kensington and Chelsea - Colville,00AWGB,E05000385,8400.0,1200.0,6150.0,1000.0,14.4,73.4,12.2,38.3,36.0,0.4,20625.0,34.0,44.4,15.5,49.3,80.6,85.2,14.0,22.0,162.6,1.2,0.0,4457.0,69.9,4200.0,0.7,45.1,935000.0,106.0,43560.0,4701.0,0.5,1.1,8.2,90.2,24.9,45.2,28.1,6.3,69.5,24.2,15.1,21.3,7.6,3.4,18.9,4.4,47.5,130.0,100.0,311.1,1.3,13.1,48.6,672.2,214.7,172.2,36.4,0.2,10.5,0.4,5.4,7.7,31.8
Kensington and Chelsea - Courtfield,00AWGC,E05000386,9100.0,1150.0,6950.0,950.0,12.8,76.5,10.7,35.6,33.0,0.5,17700.0,24.8,61.4,28.3,47.1,91.9,87.7,n/a,n/a,76.3,0.5,3.0,4535.0,64.8,4800.0,0.7,78.9,1325000.0,161.0,61810.0,5105.0,0.8,2.1,9.1,88.0,39.0,9.1,48.0,3.8,24.5,71.7,4.4,6.3,2.3,1.7,2.1,1.5,49.4,482.0,16.7,344.1,0.6,3.8,58.7,688.1,179.3,109.0,18.9,0.1,13.4,0.5,6.9,3.7,24.9
Kensington and Chelsea - Cremorne,00AWGD,E05000387,8250.0,1250.0,5550.0,1450.0,15.0,67.3,17.7,40.4,39.0,0.6,13250.0,32.5,44.4,17.2,43.9,81.9,86.9,11.0,21.1,145.3,2.8,5.0,3470.0,63.0,3600.0,0.7,28.0,1050000.0,101.0,43920.0,4230.0,1.0,3.0,10.7,84.2,32.6,43.4,20.9,4.2,58.5,37.4,12.9,21.2,7.7,3.3,21.5,5.2,54.9,218.0,83.3,311.7,1.5,15.4,41.2,656.9,198.4,89.5,26.3,n/a,29.3,0.5,4.7,4.4,35.1
Kensington and Chelsea - Earl's Court,00AWGE,E05000388,9300.0,1150.0,7300.0,900.0,12.1,78.1,9.8,36.8,34.0,0.5,18100.0,35.4,61.0,29.6,44.4,78.4,85.7,6.4,19.5,145.8,1.4,3.0,4973.0,68.5,5300.0,0.7,84.7,783250.0,172.0,44100.0,5207.0,0.9,0.7,4.6,93.8,30.6,22.7,43.8,7.3,62.9,29.8,12.0,17.3,6.6,3.0,11.2,2.5,42.2,248.0,100.0,359.2,0.9,8.4,53.3,713.3,216.3,110.4,29.8,0.2,10.0,0.4,7.0,3.8,27.9
